Modelo utilizado:
VGG16 (sin la capa superior de clasificación, preentrenado en ImageNet)

Parámetros del modelo de KNN:
Algoritmo: brute
Metric: cosine
n_neighbors: 6

Resultados de la evaluación:
Precision promedio: 0.5485894275540948
Recall promedio: 0.4934515657810646
Distancia promedio: 0.12459341436624527
Tiempo de recuperación promedio: 0.5508880290029082 segundos
mAP (Mean Average Precision): 0.03507240065774285

Resultados detallados:
Consulta 1: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.13, Retrieval Time: 0.6095 segundos
Consulta 67: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.15, Retrieval Time: 0.6100 segundos
Consulta 68: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.5600 segundos
Consulta 69: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.6120 segundos
Consulta 70: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.5180 segundos
Consulta 71: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.5520 segundos
Consulta 72: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.5776 segundos
Consulta 73: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.11, Retrieval Time: 0.4930 segundos
Consulta 74: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.18, Retrieval Time: 0.5015 segundos
Consulta 75: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.5170 segundos
Consulta 76: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.16, Retrieval Time: 0.5690 segundos
Consulta 77: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.14, Retrieval Time: 0.4950 segundos
Consulta 78: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.08, Retrieval Time: 0.5090 segundos
Consulta 79: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 0.16, Retrieval Time: 0.5010 segundos
Consulta 80: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 0.15, Retrieval Time: 0.4900 segundos
Consulta 81: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.14, Retrieval Time: 0.5180 segundos
Consulta 82: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.13, Retrieval Time: 0.4841 segundos
Consulta 83: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.05, Retrieval Time: 0.4928 segundos
Consulta 84: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.14, Retrieval Time: 0.5061 segundos
Consulta 85: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.08, Retrieval Time: 0.5097 segundos
Consulta 86: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 0.12, Retrieval Time: 0.4940 segundos
Consulta 87: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.15, Retrieval Time: 0.4771 segundos
Consulta 88: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.15, Retrieval Time: 0.5011 segundos
Consulta 89: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.16, Retrieval Time: 0.6360 segundos
Consulta 90: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.16, Retrieval Time: 0.5000 segundos
Consulta 91: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.4820 segundos
Consulta 92: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.17, Retrieval Time: 0.5740 segundos
Consulta 93: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5970 segundos
Consulta 94: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 0.13, Retrieval Time: 0.6180 segundos
Consulta 95: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 0.15, Retrieval Time: 0.5840 segundos
Consulta 96: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.13, Retrieval Time: 0.5383 segundos
Consulta 97: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 0.15, Retrieval Time: 0.4540 segundos
Consulta 98: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.4660 segundos
Consulta 99: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.4635 segundos
Consulta 100: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.4640 segundos
Consulta 101: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.15, Retrieval Time: 0.4590 segundos
Consulta 102: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.09, Retrieval Time: 0.4629 segundos
Consulta 103: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.4675 segundos
Consulta 104: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.13, Retrieval Time: 0.4490 segundos
Consulta 105: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.16, Retrieval Time: 0.4660 segundos
Consulta 106: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5900 segundos
Consulta 107: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.08, Retrieval Time: 0.5340 segundos
Consulta 108: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.14, Retrieval Time: 0.4810 segundos
Consulta 109: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.08, Retrieval Time: 0.4691 segundos
Consulta 110: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.15, Retrieval Time: 0.9371 segundos
Consulta 111: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.13, Retrieval Time: 0.4691 segundos
Consulta 112: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.4900 segundos
Consulta 113: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.08, Retrieval Time: 0.4780 segundos
Consulta 114: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.5117 segundos
Consulta 115: Precision@6: 0.50, Recall@6: 0.17, Avg Distance: 0.14, Retrieval Time: 0.4910 segundos
Consulta 116: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.11, Retrieval Time: 0.4540 segundos
Consulta 117: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.4750 segundos
Consulta 118: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.19, Retrieval Time: 0.4940 segundos
Consulta 119: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 0.12, Retrieval Time: 0.5330 segundos
Consulta 120: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 0.11, Retrieval Time: 0.5120 segundos
Consulta 121: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 0.10, Retrieval Time: 0.4910 segundos
Consulta 122: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 0.13, Retrieval Time: 0.4660 segundos
Consulta 123: Precision@6: 0.25, Recall@6: 0.04, Avg Distance: 0.13, Retrieval Time: 0.5050 segundos
Consulta 124: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.11, Retrieval Time: 0.4710 segundos
Consulta 125: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.15, Retrieval Time: 0.4650 segundos
Consulta 126: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.4650 segundos
Consulta 127: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.18, Retrieval Time: 0.4620 segundos
Consulta 128: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.15, Retrieval Time: 0.4710 segundos
Consulta 129: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.4671 segundos
Consulta 130: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.11, Retrieval Time: 0.4797 segundos
Consulta 131: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.08, Retrieval Time: 0.4730 segundos
Consulta 132: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.06, Retrieval Time: 0.5130 segundos
Consulta 133: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.4657 segundos
Consulta 134: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.14, Retrieval Time: 0.4560 segundos
Consulta 135: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.15, Retrieval Time: 0.4712 segundos
Consulta 136: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.17, Retrieval Time: 0.4970 segundos
Consulta 137: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 0.18, Retrieval Time: 0.5590 segundos
Consulta 138: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.15, Retrieval Time: 0.4790 segundos
Consulta 139: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.10, Retrieval Time: 0.4940 segundos
Consulta 140: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 0.11, Retrieval Time: 0.5040 segundos
Consulta 141: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.12, Retrieval Time: 0.5040 segundos
Consulta 142: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 0.15, Retrieval Time: 0.4890 segundos
Consulta 143: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.10, Retrieval Time: 0.5370 segundos
Consulta 144: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.08, Retrieval Time: 0.4960 segundos
Consulta 145: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5120 segundos
Consulta 146: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.19, Retrieval Time: 0.4860 segundos
Consulta 147: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.09, Retrieval Time: 0.4820 segundos
Consulta 148: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.14, Retrieval Time: 0.5382 segundos
Consulta 149: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 0.18, Retrieval Time: 0.5120 segundos
Consulta 150: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.17, Retrieval Time: 0.6583 segundos
Consulta 151: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 0.13, Retrieval Time: 0.4690 segundos
Consulta 152: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5050 segundos
Consulta 153: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 0.13, Retrieval Time: 0.4900 segundos
Consulta 154: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 0.15, Retrieval Time: 0.5210 segundos
Consulta 155: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.16, Retrieval Time: 0.5140 segundos
Consulta 156: Precision@6: 0.25, Recall@6: 0.04, Avg Distance: 0.18, Retrieval Time: 0.4930 segundos
Consulta 157: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 0.15, Retrieval Time: 0.4670 segundos
Consulta 158: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.4430 segundos
Consulta 159: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.4871 segundos
Consulta 160: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 0.15, Retrieval Time: 0.5010 segundos
Consulta 161: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.12, Retrieval Time: 0.5850 segundos
Consulta 162: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.14, Retrieval Time: 0.4710 segundos
Consulta 163: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.08, Retrieval Time: 0.4607 segundos
Consulta 164: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 0.17, Retrieval Time: 0.4710 segundos
Consulta 165: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.4630 segundos
Consulta 166: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 0.12, Retrieval Time: 0.4760 segundos
Consulta 167: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5090 segundos
Consulta 168: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.5001 segundos
Consulta 169: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.11, Retrieval Time: 0.4677 segundos
Consulta 170: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.08, Retrieval Time: 0.4631 segundos
Consulta 171: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.04, Retrieval Time: 0.4633 segundos
Consulta 172: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.08, Retrieval Time: 0.5521 segundos
Consulta 173: Precision@6: 0.33, Recall@6: 0.06, Avg Distance: 0.11, Retrieval Time: 0.5520 segundos
Consulta 174: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 0.12, Retrieval Time: 0.5440 segundos
Consulta 175: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.5550 segundos
Consulta 176: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5376 segundos
Consulta 177: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.14, Retrieval Time: 0.4709 segundos
Consulta 178: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.08, Retrieval Time: 0.4610 segundos
Consulta 179: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 0.17, Retrieval Time: 0.4550 segundos
Consulta 180: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.15, Retrieval Time: 0.4510 segundos
Consulta 181: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.07, Retrieval Time: 0.4510 segundos
Consulta 182: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.13, Retrieval Time: 0.4511 segundos
Consulta 183: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.4470 segundos
Consulta 184: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.15, Retrieval Time: 0.4640 segundos
Consulta 185: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.4550 segundos
Consulta 186: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.4655 segundos
Consulta 187: Precision@6: 0.50, Recall@6: 0.33, Avg Distance: 0.18, Retrieval Time: 0.4570 segundos
Consulta 188: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.14, Retrieval Time: 0.4650 segundos
Consulta 189: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 0.11, Retrieval Time: 0.4561 segundos
Consulta 190: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.10, Retrieval Time: 0.5820 segundos
Consulta 191: Precision@6: 0.50, Recall@6: 0.33, Avg Distance: 0.17, Retrieval Time: 0.5131 segundos
Consulta 192: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.5281 segundos
Consulta 193: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.4560 segundos
Consulta 194: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.15, Retrieval Time: 0.4520 segundos
Consulta 195: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.4490 segundos
Consulta 196: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.5470 segundos
Consulta 197: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.4690 segundos
Consulta 198: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.4795 segundos
Consulta 199: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.4616 segundos
Consulta 200: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 0.14, Retrieval Time: 0.4860 segundos
Consulta 201: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.4716 segundos
Consulta 202: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 0.16, Retrieval Time: 0.4451 segundos
Consulta 203: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.5423 segundos
Consulta 204: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.5482 segundos
Consulta 205: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.13, Retrieval Time: 0.4877 segundos
Consulta 206: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.14, Retrieval Time: 0.5191 segundos
Consulta 207: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 0.16, Retrieval Time: 0.5192 segundos
Consulta 208: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.5972 segundos
Consulta 209: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5455 segundos
Consulta 210: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.16, Retrieval Time: 0.5130 segundos
Consulta 211: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.4811 segundos
Consulta 212: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.4986 segundos
Consulta 213: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.11, Retrieval Time: 0.4649 segundos
Consulta 214: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.4472 segundos
Consulta 215: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.4546 segundos
Consulta 216: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.4471 segundos
Consulta 217: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 0.07, Retrieval Time: 0.5753 segundos
Consulta 218: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.11, Retrieval Time: 0.4670 segundos
Consulta 219: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.4350 segundos
Consulta 220: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.4561 segundos
Consulta 221: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.12, Retrieval Time: 0.4450 segundos
Consulta 222: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 0.11, Retrieval Time: 0.4629 segundos
Consulta 223: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.5140 segundos
Consulta 224: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.14, Retrieval Time: 0.4577 segundos
Consulta 225: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.16, Retrieval Time: 0.5589 segundos
Consulta 226: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.16, Retrieval Time: 0.4540 segundos
Consulta 227: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.4606 segundos
Consulta 228: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.13, Retrieval Time: 0.4590 segundos
Consulta 229: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.4447 segundos
