Modelo utilizado:
VGG16 (sin la capa superior de clasificación, preentrenado en ImageNet)

Parámetros del modelo de KNN:
Algoritmo: ball_tree
n_neighbors: 6

Resultados de la evaluación:
Precision promedio: 0.5056012051492741
Recall promedio: 0.44932895097233627
Distancia promedio: 44.84403442229147
Tiempo de recuperación promedio: 0.14266919541182632 segundos
mAP (Mean Average Precision): 0.033854479058711924

Resultados detallados:
Consulta 1: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 45.24, Retrieval Time: 0.1790 segundos
Consulta 84: Precision@6: 0.33, Recall@6: 0.17, Avg Distance: 46.98, Retrieval Time: 0.1370 segundos
Consulta 85: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 35.84, Retrieval Time: 0.1390 segundos
Consulta 86: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 40.99, Retrieval Time: 0.1400 segundos
Consulta 87: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 49.21, Retrieval Time: 0.1350 segundos
Consulta 88: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 51.82, Retrieval Time: 0.1410 segundos
Consulta 89: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 53.06, Retrieval Time: 0.1390 segundos
Consulta 90: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 53.49, Retrieval Time: 0.1580 segundos
Consulta 91: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 37.52, Retrieval Time: 0.1430 segundos
Consulta 92: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 54.67, Retrieval Time: 0.1440 segundos
Consulta 93: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 40.98, Retrieval Time: 0.1720 segundos
Consulta 94: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 45.43, Retrieval Time: 0.1420 segundos
Consulta 95: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 48.75, Retrieval Time: 0.1480 segundos
Consulta 96: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 45.23, Retrieval Time: 0.1380 segundos
Consulta 97: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 48.64, Retrieval Time: 0.1387 segundos
Consulta 98: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 46.69, Retrieval Time: 0.1370 segundos
Consulta 99: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 38.55, Retrieval Time: 0.1410 segundos
Consulta 100: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 41.37, Retrieval Time: 0.1820 segundos
Consulta 101: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 50.49, Retrieval Time: 0.1390 segundos
Consulta 102: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 36.77, Retrieval Time: 0.1410 segundos
Consulta 103: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 46.73, Retrieval Time: 0.1750 segundos
Consulta 104: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 45.65, Retrieval Time: 0.1490 segundos
Consulta 105: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 50.37, Retrieval Time: 0.1380 segundos
Consulta 106: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 38.87, Retrieval Time: 0.1380 segundos
Consulta 107: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 33.87, Retrieval Time: 0.1350 segundos
Consulta 108: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 49.72, Retrieval Time: 0.1400 segundos
Consulta 109: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 35.08, Retrieval Time: 0.1360 segundos
Consulta 110: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 49.09, Retrieval Time: 0.1780 segundos
Consulta 111: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 44.21, Retrieval Time: 0.1630 segundos
Consulta 112: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 38.35, Retrieval Time: 0.1620 segundos
Consulta 113: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 36.60, Retrieval Time: 0.1510 segundos
Consulta 114: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 39.04, Retrieval Time: 0.1440 segundos
Consulta 115: Precision@6: 0.50, Recall@6: 0.17, Avg Distance: 44.41, Retrieval Time: 0.1370 segundos
Consulta 116: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 41.79, Retrieval Time: 0.1351 segundos
Consulta 117: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 44.87, Retrieval Time: 0.1344 segundos
Consulta 118: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 58.85, Retrieval Time: 0.1400 segundos
Consulta 119: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 40.96, Retrieval Time: 0.1380 segundos
Consulta 120: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 40.08, Retrieval Time: 0.1353 segundos
Consulta 121: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 37.82, Retrieval Time: 0.1390 segundos
Consulta 122: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 45.97, Retrieval Time: 0.1390 segundos
Consulta 123: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 46.05, Retrieval Time: 0.1520 segundos
Consulta 124: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 42.04, Retrieval Time: 0.1450 segundos
Consulta 125: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 53.18, Retrieval Time: 0.1390 segundos
Consulta 126: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 45.31, Retrieval Time: 0.1460 segundos
Consulta 127: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 53.57, Retrieval Time: 0.1400 segundos
Consulta 128: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 50.91, Retrieval Time: 0.1370 segundos
Consulta 129: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 42.90, Retrieval Time: 0.1370 segundos
Consulta 130: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 42.55, Retrieval Time: 0.1340 segundos
Consulta 131: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 34.71, Retrieval Time: 0.1420 segundos
Consulta 132: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 28.62, Retrieval Time: 0.1380 segundos
Consulta 133: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 41.20, Retrieval Time: 0.1340 segundos
Consulta 134: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 47.20, Retrieval Time: 0.1360 segundos
Consulta 135: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 48.01, Retrieval Time: 0.1410 segundos
Consulta 136: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 52.57, Retrieval Time: 0.1360 segundos
Consulta 137: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 52.29, Retrieval Time: 0.1350 segundos
Consulta 138: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 50.86, Retrieval Time: 0.1340 segundos
Consulta 139: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 38.89, Retrieval Time: 0.1380 segundos
Consulta 140: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 43.31, Retrieval Time: 0.1340 segundos
Consulta 141: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 46.08, Retrieval Time: 0.1563 segundos
Consulta 142: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 49.04, Retrieval Time: 0.1610 segundos
Consulta 143: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 38.51, Retrieval Time: 0.1435 segundos
Consulta 144: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 36.27, Retrieval Time: 0.1440 segundos
Consulta 145: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 42.63, Retrieval Time: 0.1550 segundos
Consulta 146: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 57.55, Retrieval Time: 0.1560 segundos
Consulta 147: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 36.68, Retrieval Time: 0.1370 segundos
Consulta 148: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 46.16, Retrieval Time: 0.1340 segundos
Consulta 149: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 53.64, Retrieval Time: 0.1390 segundos
Consulta 150: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 52.67, Retrieval Time: 0.1370 segundos
Consulta 151: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 43.62, Retrieval Time: 0.1350 segundos
Consulta 152: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 39.85, Retrieval Time: 0.1370 segundos
Consulta 153: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 46.83, Retrieval Time: 0.1350 segundos
Consulta 154: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 50.69, Retrieval Time: 0.1390 segundos
Consulta 155: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 53.41, Retrieval Time: 0.1360 segundos
Consulta 156: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 56.63, Retrieval Time: 0.1350 segundos
Consulta 157: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 48.21, Retrieval Time: 0.1340 segundos
Consulta 158: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 41.26, Retrieval Time: 0.1470 segundos
Consulta 159: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 39.85, Retrieval Time: 0.1450 segundos
Consulta 160: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 50.12, Retrieval Time: 0.1360 segundos
Consulta 161: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 42.63, Retrieval Time: 0.1360 segundos
Consulta 162: Precision@6: 0.50, Recall@6: 0.33, Avg Distance: 47.43, Retrieval Time: 0.1360 segundos
Consulta 163: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 37.62, Retrieval Time: 0.1370 segundos
Consulta 164: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 53.20, Retrieval Time: 0.1350 segundos
Consulta 165: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 43.37, Retrieval Time: 0.1360 segundos
Consulta 166: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 44.98, Retrieval Time: 0.1370 segundos
Consulta 167: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 40.84, Retrieval Time: 0.1360 segundos
Consulta 168: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 44.41, Retrieval Time: 0.1370 segundos
Consulta 169: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 40.69, Retrieval Time: 0.1410 segundos
Consulta 170: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 35.50, Retrieval Time: 0.1360 segundos
Consulta 171: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 22.86, Retrieval Time: 0.1340 segundos
Consulta 172: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 34.75, Retrieval Time: 0.1360 segundos
Consulta 173: Precision@6: 0.33, Recall@6: 0.06, Avg Distance: 40.75, Retrieval Time: 0.1770 segundos
Consulta 174: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 42.58, Retrieval Time: 0.1360 segundos
Consulta 175: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 43.87, Retrieval Time: 0.1360 segundos
Consulta 176: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 40.21, Retrieval Time: 0.1350 segundos
Consulta 177: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 48.85, Retrieval Time: 0.1350 segundos
Consulta 178: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 36.18, Retrieval Time: 0.1370 segundos
Consulta 179: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 51.46, Retrieval Time: 0.1370 segundos
Consulta 180: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 51.50, Retrieval Time: 0.1380 segundos
Consulta 181: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 33.80, Retrieval Time: 0.1330 segundos
Consulta 182: Precision@6: 0.33, Recall@6: 0.17, Avg Distance: 45.65, Retrieval Time: 0.1370 segundos
Consulta 183: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 39.71, Retrieval Time: 0.1340 segundos
Consulta 184: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 49.47, Retrieval Time: 0.1350 segundos
Consulta 185: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 44.88, Retrieval Time: 0.1370 segundos
Consulta 186: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 40.49, Retrieval Time: 0.1360 segundos
Consulta 187: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 54.53, Retrieval Time: 0.1350 segundos
Consulta 188: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 47.90, Retrieval Time: 0.1360 segundos
Consulta 189: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 42.21, Retrieval Time: 0.1370 segundos
Consulta 190: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 39.24, Retrieval Time: 0.1370 segundos
Consulta 191: Precision@6: 0.50, Recall@6: 0.17, Avg Distance: 54.50, Retrieval Time: 0.1370 segundos
Consulta 192: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 40.68, Retrieval Time: 0.1350 segundos
Consulta 193: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 44.29, Retrieval Time: 0.1400 segundos
Consulta 194: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 50.89, Retrieval Time: 0.1350 segundos
Consulta 195: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 41.41, Retrieval Time: 0.1360 segundos
Consulta 196: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 42.40, Retrieval Time: 0.1350 segundos
Consulta 197: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 42.75, Retrieval Time: 0.1350 segundos
Consulta 198: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 45.35, Retrieval Time: 0.1430 segundos
Consulta 199: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 46.72, Retrieval Time: 0.1570 segundos
Consulta 200: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 47.95, Retrieval Time: 0.1380 segundos
Consulta 201: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 45.70, Retrieval Time: 0.1420 segundos
Consulta 202: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 52.16, Retrieval Time: 0.1420 segundos
Consulta 203: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 48.16, Retrieval Time: 0.1350 segundos
Consulta 204: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 42.64, Retrieval Time: 0.1530 segundos
Consulta 205: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 46.51, Retrieval Time: 0.1350 segundos
Consulta 206: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 49.24, Retrieval Time: 0.1370 segundos
Consulta 207: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 49.24, Retrieval Time: 0.1380 segundos
Consulta 208: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 45.80, Retrieval Time: 0.1380 segundos
Consulta 209: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 40.01, Retrieval Time: 0.1350 segundos
Consulta 210: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 54.61, Retrieval Time: 0.1360 segundos
Consulta 211: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 44.19, Retrieval Time: 0.1400 segundos
Consulta 212: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 46.51, Retrieval Time: 0.1370 segundos
Consulta 213: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 40.77, Retrieval Time: 0.1350 segundos
Consulta 214: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 38.07, Retrieval Time: 0.1360 segundos
Consulta 215: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 43.18, Retrieval Time: 0.1387 segundos
Consulta 216: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 46.47, Retrieval Time: 0.1330 segundos
Consulta 217: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 31.11, Retrieval Time: 0.1330 segundos
Consulta 218: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 40.80, Retrieval Time: 0.1400 segundos
Consulta 219: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 36.34, Retrieval Time: 0.1430 segundos
Consulta 220: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 47.17, Retrieval Time: 0.1350 segundos
Consulta 221: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 42.16, Retrieval Time: 0.1340 segundos
Consulta 222: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 43.40, Retrieval Time: 0.1370 segundos
Consulta 223: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 37.78, Retrieval Time: 0.2190 segundos
Consulta 224: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 46.10, Retrieval Time: 0.1360 segundos
Consulta 225: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 52.25, Retrieval Time: 0.1380 segundos
Consulta 226: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 54.18, Retrieval Time: 0.1380 segundos
Consulta 227: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 49.94, Retrieval Time: 0.1360 segundos
Consulta 228: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 44.20, Retrieval Time: 0.1370 segundos
Consulta 229: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 36.88, Retrieval Time: 0.1400 segundos
